#{"t_start": 1737051474.3538332, "env_id": "None"}
r,l,t
-88.192631,50,1.948987
-86.469774,50,2.730558
-87.332098,50,3.395506
-84.314839,50,3.825749
-86.896748,50,4.178493
-88.361012,50,4.503491
-87.220618,50,4.822903
-86.182486,50,5.254548
-87.46746,50,6.066841
-86.63238,50,7.214184
-85.885557,50,8.595371
-86.863832,50,9.60939
-86.51748,50,10.036697
-85.583906,50,10.383626
-87.652431,50,10.820071
-86.178052,50,11.228658
-87.968721,50,12.181254
-87.919319,50,12.970078
-86.152005,50,14.783892
-86.251196,50,15.592865
-85.56291,50,16.067062
-88.598001,50,16.44524
-87.10586,50,16.920464
-88.065325,50,17.729242
-90.47625,50,19.226396
-87.796815,50,20.191428
-87.228732,50,20.812532
-85.409112,50,21.44557
-86.14003,50,22.096161
-86.559047,50,22.982533
-86.619538,50,23.446971
-87.498821,50,23.780254
-87.206923,50,24.551058
-85.545178,50,25.942093
-86.107596,50,26.678767
-86.260293,50,27.255682
-92.314016,50,27.844027
-86.488288,50,28.25471
-87.405654,50,28.556423
-90.206988,50,28.859546
